吖,251432
阿,5212512
啊,2515212512
锕,311155212512
錒,341124315212512
嗄,2511325111354
厑,1325135
哎,25112234
哀,412513534
唉,2515431134
埃,1215431134
挨,1215431134
欸,54311343534
溾,441325113554
锿,31115412513534
鎄,34112431412513534
啀,25113121121
捱,12113121121
皑,32511252515
凒,412521251431
嵦,2522521251431
溰,4412521251431
嘊,25125213121121
敱,25212514312154
敳,25212514313134
皚,325112521251431
癌,41341251251251252
毐,1215531
昹,251145534
娾,53113121121
嗳,2513443451354
矮,3113431234531
蔼,12245251135345
躷,325111331234531
噯,2513443454544354
濭,4411221215425221
藹,1224111251251135345
譪,4111251122251135345
霭,1452444445251135345
靄,145244444111251251135345
艾,12234
伌,321355
爱,3443451354
砹,1325112234
硋,13251415334
隘,524313425221
嗌,2514313425221
塧,1214313425221
嫒,5313443451354
愛,3443454544354
碍,1325125111124
叆,11543443451354
暧,25113443451354
瑷,11213443451354
僾,323443454544354
壒,1211221215425221
嬡,5313443454544354
懓,4423443454544354
薆,1223443454544354
懝,44235311345452134
曖,25113443454544354
璦,11213443454544354
賹,25111344313425221
餲,34451154251135345
鴱,1223432511154444
皧,325113443454544354
瞹,251113443454544354
馤,312342511251135345
礙,1325135311345452134
譺,411125135311345452134
鑀,341124313443454544354
鱫,352512144443443454544354
靉,1452444411543443454544354
安,445531
侒,32445531
峖,252445531
桉,1234445531
氨,3115445531
庵,41313425115
菴,12213425115
谙,45414312511
媕,531341251132
萻,122414312511
葊,122341251132
痷,4134113425115
腤,3511414312511
鹌,1342511535451
蓭,12241313425115
誝,41112513445251
鞌,445531122125112
鞍,122125112445531
盦,3445125351125221
諳,4111251414312511
闇,51122511414312511
馣,31234251113425115
鮟,35251214444445531
盫,341251125351125221
鵪,1342511532511154444
韽,34451253511414312511
鶕,41431251132511154444
玵,112112211
啽,251341251132
雸,1452444412211
垵,121445531
俺,3213425115
唵,25113425115
埯,12113425115
铵,31115445531
隌,52414312511
揞,121414312511
晻,251113425115
罯,25221414312511
銨,34112431445531
犴,353112
岸,25213112
按,121445531
洝,441445531
荌,122445531
案,4455311234
胺,3511445531
豻,3443533112
堓,12125213112
婩,53125213112
暗,2511414312511
貋,34435332511112
儑,3225115545544444
錌,3411243125213112
黯,254312114444414312511
肮,35114135
骯,2554525114135
岇,2523552
昂,25113552
昻,251112152
枊,12343552
盎,2513425221
醠,12535112513425221
凹,25251
坳,12155453
垇,12125251
柪,123455453
軪,125111255453
爊,4334413522115354444
敖,1121533134
厫,131121533134
隞,521121533134
嗷,2511121533134
嗸,1121533134251
嶅,1121533134252
廒,4131121533134
滶,4411121533134
獒,11213531341344
獓,3531121533134
遨,1121533134454
摮,11215331343112
熬,11215331344444
璈,11211121533134
蔜,1221121533134
磝,132511121533134
翱,3251113412541541
聱,1121533134122111
螯,1121533134251214
翶,32511413412541541
謷,11215331344111251
翺,325111413412541541
鳌,112153313435251211
鏖,4135221153534112431
鰲,112153313435251214444
鷔,112153313432511154444
鼇,11215331342511251211511
抝,1215545
芺,1223134
拗,12155453
袄,452343134
媪,531251125221
镺,12111543134
媼,5312534125221
襖,45234325431234134
岙,3134252
扷,1213134
岰,25255453
傲,321121533134
奡,132511113432
奥,325431234134
嫯,1121533134531
慠,4421121533134
骜,1121533134551
奧,3253431234134
澚,44132543123415
墺,121325431234134
嶴,325431234134252
澳,441325431234134
懊,442325431234134
擙,1213253431234134
謸,41112511121533134
鏊,112153313434112431
驁,11215331341211254444
八,34
仈,3234
巴,5215
叭,25134
扒,12134
朳,123434
玐,112134
吧,2515215
夿,1345215
岜,2525215
芭,1225215
疤,413415215
哵,2512515322
捌,1212515322
笆,3143145215
粑,4312345215
紦,5544445215
羓,4311135215
蚆,2512145215
釟,3411243134
豝,13533345215
鲃,352512115215
魞,3525121444434
叐,31354
犮,13544
抜,1211354
坺,12113544
妭,53113544
拔,12113544
茇,12213544
炦,433413544
癹,543343554
胈,351113544
釛,3411243153
菝,12212113544
詙,411125113544
跋,251212113544
軷,125111213544
颰,35325121413544
魃,32511355413544
墢,121543345153554
鼥,321511544544513544
把,1215215
钯,311155215
鈀,341124315215
靶,1221251125215
坝,1212534
弝,5155215
爸,34345215
垻,1212511134
罢,2522112154
跁,25121215215
鲅,3525121113544
罷,252215425113535
鮁,3525121444413544
覇,1252211221251123511
矲,31134252215425113535
霸,145244441221251123511
壩,121145244441221251123511
灞,441145244441221251123511
欛,1234145244441221251123511
挀,121333534
掰,311334533112
白,32511
百,132511
佰,32132511
柏,123432511
栢,1234132511
捭,12132511312
竡,41431132511
粨,431234132511
絔,554444132511
摆,1212522112154
擺,121252215425113535
襬,45234252215425113535
呗,2512534
庍,4133312
拝,12111112
败,25343134
拜,311311112
唄,2512511134
敗,25111343134
猈,35332511312
稗,3123432511312
粺,43123432511312
鞁,12212511253254
薭,1223123432511312
贁,251113425111343134
韛,5212511521221325112
兡,1225135132511
瓸,1554132511
扳,1213354
攽,34533134
朌,35113453
班,1121431121
般,3354143554
颁,3453132534
斑,112141341121
搬,1213354143554
斒,4134451325122
頒,3453132511134
瘢,413413354143554
螁,251214511534454
螌,3354143554251214
褩,3354143554413534
癍,41341112141341121
辬,414311341344143112
阪,523354
坂,1213354
岅,2523354
昄,25113354
板,12343354
版,32153354
瓪,15543354
钣,311153354
粄,4312343354
舨,3354143354
鈑,341124313354
蝂,25121432153354
魬,352512144443354
闆,25112511251251251
办,5344
半,43112
伴,3243112
扮,1213453
姅,53143112
怑,44243112
拌,12143112
绊,55143112
秚,3123443112
湴,44143122431
絆,55444443112
鉡,3411243143112
靽,12212511243112
辦,4143113534143112
瓣,4143113335444143112
邦,111352
峀,25225121
垹,121111352
帮,111352252
捠,1213212134
梆,1234111352
浜,4413212134
邫,11132515215
幇,121121124252
