19404	钺	钅	0	3111515534	311151553444	ueeeaeaauooo	8	814	4537
19405	龠	人	0	34125125125125122	341251251251	uoeiaeiaeiae	8	31	6283
19406	頵	頁	1	5113251132511134	511325113251	aeeuiaeeuiae	8	0	10239
19407	呍	口	0	2511154	251115444444	iaeeeaoooooo	9	0	10240
19408	沄	氵	0	4411154	441115444444	ooeeeaoooooo	7	0	10241
19409	郧	阝	1	251253452	251253452222	iaeiauoaiiii	8	301	5128
19410	雲	雨	0	145244441154	145244441154	eoaiooooeeao	12	0	10256
19411	狁	犭	0	3535435	353543555555	uauaouaaaaaa	7	15	6500
19412	傊	亻	0	322512511134	322512511134	uiiaeiaeeeuo	9	0	10236
19413	餫	飠	0	34451154451251112	344511544512	uooaeeaooaei	10	0	10237
19414	藴	艹	0	122554444251125221	122554444251	eiiaaooooiae	8	0	10238
19415	砸	石	0	1325112525	132511252555	euiaeeiaiaaa	8	13060	2505
19416	载	车	1	1211521534	121152153444	eieeaieauooo	6	45479	1510
19417	趲	走	0	12121343121353121352511134	121213431213	eieieuoueieu	10	0	10279
19418	暂	日	1	152133122511	152133122511	eaieuueiiaee	6	46268	1495
19419	贊	貝	1	3121353121352511134	312135312135	ueieuaueieua	9	0	10257
19420	賘	貝	0	25111344131214	251113441312	iaeeeuooeuei	10	0	10258
19421	臓	月	0	351112213125125534	351112213125	uaeeeiieueia	9	0	10259
19422	臟	月	0	351112213513125125534	351112213513	uaeeeiieuaeu	10	0	10260
19423	枣	一	0	12523444	125234444444	eiaiuooooooo	6	5731	3133
19424	皁	白	0	3251112	325111222222	uiaeeeiiiiii	8	0	10266
19425	嘖	口	0	25111212511134	251112125111	iaeeeieiaeee	9	0	10267
19426	賊	貝	0	2511134113534	251113411353	iaeeeuoeeuau	10	0	10268
19427	鱡	魚	0	352512144442511134113534	352512144442	uaiaeieooooi	12	0	10269
19428	增	土	0	121432524312511	121432524312	eieouiaiouei	5	208798	551
19429	咤	口	0	251445315	251445315555	iaeooaueaaaa	8	1355	4214
19430	柵	木	0	123425221	123425221111	eiuoiaiieeee	10	0	10261
19431	噡	口	0	2513513344111251	251351334411	iaeuaeuuooee	7	0	10262
19432	氈	毛	1	41252511251113115	412525112511	oeiaiaeeiaee	8	0	10263
19433	飐	风	0	353421251	353421251111	uauoieiaeeee	6	0	10264
19434	戰	戈	1	2512512511121534	251251251112	iaeiaeiaeeei	12	0	10265
19435	璋	王	0	112141431251112	112141431251	eeieoeoueiae	7	5287	3194
